半导体	semiconductor
"794","weight","电子器件","通信设备",2.46495703485903e-18,8.8e-15,"< 2e-16","****","Wilcoxon"
"795","weight","电子器件","通用设备",0.0250006158226352,1,"0.02500","*","Wilcoxon"
"796","weight","电子器件","卫星应用",2.09286467102011e-06,0.0056,"2.1e-06","****","Wilcoxon"
"797","weight","电子器件","文娱用品",0.00315242458378984,1,"0.00315","**","Wilcoxon"
"798","weight","电子器件","物流",3.44580176650741e-08,1e-04,"3.4e-08","****","Wilcoxon"
"799","weight","电子器件","稀有金属",5.12535021457843e-08,0.00015,"5.1e-08","****","Wilcoxon"
"800","weight","电子器件","橡胶制品",6.76508944122607e-20,2.5e-16,"< 2e-16","****","Wilcoxon"
"801","weight","电子器件","消费电子设备",0.087299116542183,1,"0.08730","ns","Wilcoxon"
"802","weight","电子器件","小家电",6.00121226749986e-24,2.3e-20,"< 2e-16","****","Wilcoxon"
"803","weight","电子器件","休闲服务",0.631753715267944,1,"0.63175","ns","Wilcoxon"
"804","weight","电子器件","医疗服务",0.0297125541525397,1,"0.02971","*","Wilcoxon"
"805","weight","电子器件","医疗器械",0.00646084567400965,1,"0.00646","**","Wilcoxon"
"806","weight","电子器件","医药商业",7.34088031154898e-18,2.6e-14,"< 2e-16","****","Wilcoxon"
"807","weight","电子器件","银行",0.68825508900669,1,"0.68826","ns","Wilcoxon"
"808","weight","电子器件","饮料",0.0751401880943045,1,"0.07514","ns","Wilcoxon"
"809","weight","电子器件","营销服务",0.0018361726519839,1,"0.00184","**","Wilcoxon"
"810","weight","电子器件","影视动漫",0.00770197009811035,1,"0.00770","**","Wilcoxon"
"811","weight","电子器件","渔业",0.761348462255165,1,"0.76135","ns","Wilcoxon"
"812","weight","电子器件","造纸印刷",6.4397471340053e-50,2.7e-46,"< 2e-16","****","Wilcoxon"
"813","weight","电子器件","照明设备",9.48240476086372e-14,3.2e-10,"9.5e-14","****","Wilcoxon"
"814","weight","电子器件","中药生产",1.71433387325616e-05,0.044,"1.7e-05","****","Wilcoxon"
"815","weight","电子器件","珠宝首饰",1.36157313315429e-18,4.9e-15,"< 2e-16","****","Wilcoxon"
"816","weight","电子器件","专业服务",7.74998745367017e-26,3e-22,"< 2e-16","****","Wilcoxon"
"817","weight","电子器件","专用设备",2.79041967412757e-05,0.07,"2.8e-05","****","Wilcoxon"
"818","weight","电子器件","装修装饰",2.10941386570557e-06,0.0057,"2.1e-06","****","Wilcoxon"
"819","weight","电子器件","综合",3.20640568036962e-15,1.1e-11,"3.2e-15","****","Wilcoxon"
"820","weight","电子设备制造","电子元件",3.04764719962459e-98,1.3e-94,"< 2e-16","****","Wilcoxon"
"821","weight","电子设备制造","房地产开发",0.0159783998825512,1,"0.01598","*","Wilcoxon"
"822","weight","电子设备制造","纺织",0.0829839217374048,1,"0.08298","ns","Wilcoxon"
"823","weight","电子设备制造","非银行金融",1.75532918399075e-08,5.2e-05,"1.8e-08","****","Wilcoxon"
"824","weight","电子设备制造","服装家纺",5.5646577230047e-140,2.5e-136,"< 2e-16","****","Wilcoxon"
"825","weight","电子设备制造","钢结构",6.07899563028762e-111,2.7e-107,"< 2e-16","****","Wilcoxon"
"826","weight","电子设备制造","钢铁",8.98648911463575e-07,0.0025,"9.0e-07","****","Wilcoxon"
"827","weight","电子设备制造","港口航运",0.000199939214882544,0.46,"0.00020","***","Wilcoxon"
"828","weight","电子设备制造","公路铁路",0.0772521003113415,1,"0.07725","ns","Wilcoxon"
"829","weight","电子设备制造","光电子器件",2.54367279495939e-117,1.1e-113,"< 2e-16","****","Wilcoxon"
"830","weight","电子设备制造","广播电视",0.0650287565519821,1,"0.06503","ns","Wilcoxon"
"831","weight","电子设备制造","轨道交通设备",0.000935584688858365,1,"0.00094","***","Wilcoxon"
"832","weight","电子设备制造","贵金属",0.390151552475677,1,"0.39015","ns","Wilcoxon"
"833","weight","电子设备制造","航空航天装备",5.79689708552587e-28,2.3e-24,"< 2e-16","****","Wilcoxon"
"834","weight","电子设备制造","航空机场",0.852882010156385,1,"0.85288","ns","Wilcoxon"
"835","weight","电子设备制造","合成纤维及树脂",3.29113132237699e-10,1e-06,"3.3e-10","****","Wilcoxon"
"836","weight","电子设备制造","互联网服务",0.543889904527684,1,"0.54389","ns","Wilcoxon"
"837","weight","电子设备制造","互联网技术",0.00853810824488302,1,"0.00854","**","Wilcoxon"
"838","weight","电子设备制造","互联网商务",0.0746950067953933,1,"0.07470","ns","Wilcoxon"
"839","weight","电子设备制造","化肥农药",6.86908307558945e-91,3e-87,"< 2e-16","****","Wilcoxon"
"840","weight","电子设备制造","化学新材料",2.56290472993152e-212,1.2e-208,"< 2e-16","****","Wilcoxon"
"841","weight","电子设备制造","化学原料",0.0119800836200576,1,"0.01198","*","Wilcoxon"
"842","weight","电子设备制造","化学制品",0.0395469414934283,1,"0.03955","*","Wilcoxon"
"843","weight","电子设备制造","化学制药",4.07514740003353e-51,1.7e-47,"< 2e-16","****","Wilcoxon"
"844","weight","电子设备制造","环保",8.86024221642948e-66,3.8e-62,"< 2e-16","****","Wilcoxon"
"845","weight","电子设备制造","机器人",2.00769405019962e-89,8.8e-86,"< 2e-16","****","Wilcoxon"
"846","weight","电子设备制造","基本金属",1.1158493659351e-77,4.8e-74,"< 2e-16","****","Wilcoxon"
"847","weight","电子设备制造","基础建设",0.457295313129397,1,"0.45730","ns","Wilcoxon"
"848","weight","电子设备制造","计算机软件",2.3588187394464e-20,8.7e-17,"< 2e-16","****","Wilcoxon"
"849","weight","电子设备制造","计算机硬件",1.81795386170716e-05,0.046,"1.8e-05","****","Wilcoxon"
"850","weight","电子设备制造","家具",2.45362253508894e-45,1e-41,"< 2e-16","****","Wilcoxon"
"851","weight","电子设备制造","建筑施工",5.06544554827391e-219,2.3e-215,"< 2e-16","****","Wilcoxon"
"852","weight","电子设备制造","教育",0.0190927981131853,1,"0.01909","*","Wilcoxon"
"853","weight","电子设备制造","金属非金属新材料",0.000368513854617021,0.83,"0.00037","***","Wilcoxon"
"854","weight","电子设备制造","金属制品",0,0,"< 2e-16","****","Wilcoxon"
"855","weight","电子设备制造","林业",0.405618273509614,1,"0.40562","ns","Wilcoxon"
"856","weight","电子设备制造","零售",0.154144140632669,1,"0.15414","ns","Wilcoxon"
"857","weight","电子设备制造","贸易",4.17947510129138e-14,1.4e-10,"4.2e-14","****","Wilcoxon"
"858","weight","电子设备制造","煤炭",1.36261434585864e-13,4.6e-10,"1.4e-13","****","Wilcoxon"
"859","weight","电子设备制造","耐火材料",1.70237755897428e-51,7.1e-48,"< 2e-16","****","Wilcoxon"
"860","weight","电子设备制造","农业",2.16665329426262e-16,7.6e-13,"< 2e-16","****","Wilcoxon"
"861","weight","电子设备制造","平面媒体",0.925456254764884,1,"0.92546","ns","Wilcoxon"
"862","weight","电子设备制造","其他电气设备",0.159247669541386,1,"0.15925","ns","Wilcoxon"
"863","weight","电子设备制造","其他家电",1.6913025522731e-06,0.0046,"1.7e-06","****","Wilcoxon"
"864","weight","电子设备制造","其他建材",3.46805232043293e-89,1.5e-85,"< 2e-16","****","Wilcoxon"
"865","weight","电子设备制造","其他交运设备",0.00115947813746402,1,"0.00116","**","Wilcoxon"
"866","weight","电子设备制造","其他轻工",0.653559294785042,1,"0.65356","ns","Wilcoxon"
"867","weight","电子设备制造","汽车",1.82231238162105e-19,6.6e-16,"< 2e-16","****","Wilcoxon"
"868","weight","电子设备制造","燃气",1.38556496167652e-14,4.7e-11,"1.4e-14","****","Wilcoxon"
"869","weight","电子设备制造","商业物业经营",0.0236402426588789,1,"0.02364","*","Wilcoxon"
"870","weight","电子设备制造","生物医药",3.41383741986942e-12,1.1e-08,"3.4e-12","****","Wilcoxon"
"871","weight","电子设备制造","石油天然气",1.81414602925554e-08,5.4e-05,"1.8e-08","****","Wilcoxon"
"872","weight","电子设备制造","食品",2.07065203582508e-139,9.3e-136,"< 2e-16","****","Wilcoxon"
"873","weight","电子设备制造","视听器材",0.00666601012287587,1,"0.00667","**","Wilcoxon"
"874","weight","电子设备制造","输变电设备",2.09225871043739e-20,7.7e-17,"< 2e-16","****","Wilcoxon"
"875","weight","电子设备制造","水泥",5.37167109430894e-13,1.8e-09,"5.4e-13","****","Wilcoxon"
"876","weight","电子设备制造","水务",0.000125890153508015,0.3,"0.00013","***","Wilcoxon"
"877","weight","电子设备制造","陶瓷",0.334043022969097,1,"0.33404","ns","Wilcoxon"
"878","weight","电子设备制造","铁矿石",0.751097636197038,1,"0.75110","ns","Wilcoxon"
"879","weight","电子设备制造","铁路设备",0.0120132151297621,1,"0.01201","*","Wilcoxon"
"880","weight","电子设备制造","通信设备",0.949940042822133,1,"0.94994","ns","Wilcoxon"
"881","weight","电子设备制造","通用设备",8.82774037498618e-170,4e-166,"< 2e-16","****","Wilcoxon"
"882","weight","电子设备制造","卫星应用",0.00177146599933829,1,"0.00177","**","Wilcoxon"
"883","weight","电子设备制造","文娱用品",1.83093320862055e-10,5.8e-07,"1.8e-10","****","Wilcoxon"
"884","weight","电子设备制造","物流",2.10377996046725e-20,7.7e-17,"< 2e-16","****","Wilcoxon"
"885","weight","电子设备制造","稀有金属",5.27212896496956e-17,1.9e-13,"< 2e-16","****","Wilcoxon"
"886","weight","电子设备制造","橡胶制品",0.0708406556091283,1,"0.07084","ns","Wilcoxon"
"887","weight","电子设备制造","消费电子设备",8.3898579736647e-20,3.1e-16,"< 2e-16","****","Wilcoxon"
"888","weight","电子设备制造","小家电",0.221975046901185,1,"0.22198","ns","Wilcoxon"
"889","weight","电子设备制造","休闲服务",0.148860714914982,1,"0.14886","ns","Wilcoxon"
"890","weight","电子设备制造","医疗服务",4.03521021317814e-11,1.3e-07,"4.0e-11","****","Wilcoxon"
"891","weight","电子设备制造","医疗器械",9.12117274130635e-62,3.9e-58,"< 2e-16","****","Wilcoxon"
"892","weight","电子设备制造","医药商业",5.24613663468721e-69,2.3e-65,"< 2e-16","****","Wilcoxon"
"893","weight","电子设备制造","银行",1.27036302552249e-24,4.9e-21,"< 2e-16","****","Wilcoxon"
"894","weight","电子设备制造","饮料",0.0926647905020407,1,"0.09266","ns","Wilcoxon"
"895","weight","电子设备制造","营销服务",0.00852695040265427,1,"0.00853","**","Wilcoxon"
"896","weight","电子设备制造","影视动漫",4.06433227546714e-07,0.0011,"4.1e-07","****","Wilcoxon"
"897","weight","电子设备制造","渔业",0.228582155681317,1,"0.22858","ns","Wilcoxon"
"898","weight","电子设备制造","造纸印刷",0.00638561867745723,1,"0.00639","**","Wilcoxon"
"899","weight","电子设备制造","照明设备",0.220900218321477,1,"0.22090","ns","Wilcoxon"
"900","weight","电子设备制造","中药生产",3.3425410647129e-44,1.4e-40,"< 2e-16","****","Wilcoxon"
"901","weight","电子设备制造","珠宝首饰",1.01846237679465e-22,3.9e-19,"< 2e-16","****","Wilcoxon"
"902","weight","电子设备制造","专业服务",0.0307969444536451,1,"0.03080","*","Wilcoxon"
"903","weight","电子设备制造","专用设备",1.55132902328933e-126,6.9e-123,"< 2e-16","****","Wilcoxon"
"904","weight","电子设备制造","装修装饰",0.00144948905111801,1,"0.00145","**","Wilcoxon"
"905","weight","电子设备制造","综合",0.320869915852172,1,"0.32087","ns","Wilcoxon"
"906","weight","电子元件","房地产开发",0.000829335850295247,1,"0.00083","***","Wilcoxon"
"907","weight","电子元件","纺织",0.238171615297573,1,"0.23817","ns","Wilcoxon"
"908","weight","电子元件","非银行金融",0.00271612995292748,1,"0.00272","**","Wilcoxon"
"909","weight","电子元件","服装家纺",3.16020582806908e-23,1.2e-19,"< 2e-16","****","Wilcoxon"
"910","weight","电子元件","钢结构",2.57977511897307e-19,9.3e-16,"< 2e-16","****","Wilcoxon"
"911","weight","电子元件","钢铁",9.29649042963688e-52,3.9e-48,"< 2e-16","****","Wilcoxon"
"912","weight","电子元件","港口航运",9.09851667954822e-15,3.1e-11,"9.1e-15","****","Wilcoxon"
"913","weight","电子元件","公路铁路",0.000363655851933268,0.82,"0.00036","***","Wilcoxon"
"914","weight","电子元件","光电子器件",8.14506200266742e-05,0.2,"8.1e-05","****","Wilcoxon"
"915","weight","电子元件","广播电视",0.456934929188386,1,"0.45693","ns","Wilcoxon"
"916","weight","电子元件","轨道交通设备",1.53311221336459e-06,0.0042,"1.5e-06","****","Wilcoxon"
"917","weight","电子元件","贵金属",0.901218894584019,1,"0.90122","ns","Wilcoxon"
"918","weight","电子元件","航空航天装备",1.76437470081216e-06,0.0048,"1.8e-06","****","Wilcoxon"
"919","weight","电子元件","航空机场",0.000547155685370305,1,"0.00055","***","Wilcoxon"
"920","weight","电子元件","合成纤维及树脂",1.14889163894198e-62,4.9e-59,"< 2e-16","****","Wilcoxon"
"921","weight","电子元件","互联网服务",2.05880423182331e-31,8.2e-28,"< 2e-16","****","Wilcoxon"
"922","weight","电子元件","互联网技术",2.17356016562015e-08,6.4e-05,"2.2e-08","****","Wilcoxon"
"923","weight","电子元件","互联网商务",0.25645581853065,1,"0.25646","ns","Wilcoxon"
"924","weight","电子元件","化肥农药",0.000159359908333211,0.37,"0.00016","***","Wilcoxon"
"925","weight","电子元件","化学新材料",4.32783955349076e-201,2e-197,"< 2e-16","****","Wilcoxon"
"926","weight","电子元件","化学原料",1.85032293030832e-81,8.1e-78,"< 2e-16","****","Wilcoxon"
"927","weight","电子元件","化学制品",1.94347493234465e-75,8.4e-72,"< 2e-16","****","Wilcoxon"
"928","weight","电子元件","化学制药",3.3995002067136e-08,1e-04,"3.4e-08","****","Wilcoxon"
"929","weight","电子元件","环保",3.03083670716005e-106,1.3e-102,"< 2e-16","****","Wilcoxon"
"930","weight","电子元件","机器人",0.264191282114644,1,"0.26419","ns","Wilcoxon"
"931","weight","电子元件","基本金属",1.06335586391971e-17,3.8e-14,"< 2e-16","****","Wilcoxon"
"932","weight","电子元件","基础建设",4.98036319884351e-12,1.6e-08,"5.0e-12","****","Wilcoxon"
"933","weight","电子元件","计算机软件",1.27963450018918e-85,5.6e-82,"< 2e-16","****","Wilcoxon"
"934","weight","电子元件","计算机硬件",1.55375977638276e-94,6.8e-91,"< 2e-16","****","Wilcoxon"
"935","weight","电子元件","家具",0.810975532222534,1,"0.81098","ns","Wilcoxon"
"936","weight","电子元件","建筑施工",4.00997791653044e-207,1.8e-203,"< 2e-16","****","Wilcoxon"
"937","weight","电子元件","教育",0.437901919628589,1,"0.43790","ns","Wilcoxon"
"938","weight","电子元件","金属非金属新材料",5.50532807351939e-78,2.4e-74,"< 2e-16","****","Wilcoxon"
"939","weight","电子元件","金属制品",1.42936195189037e-39,5.8e-36,"< 2e-16","****","Wilcoxon"
"940","weight","电子元件","林业",0.00207845704133948,1,"0.00208","**","Wilcoxon"
"941","weight","电子元件","零售",0.0741025503013619,1,"0.07410","ns","Wilcoxon"
"942","weight","电子元件","贸易",0.0515089145149059,1,"0.05151","ns","Wilcoxon"
"943","weight","电子元件","煤炭",0.000602524190789121,1,"0.00060","***","Wilcoxon"
"944","weight","电子元件","耐火材料",1.45127648277917e-75,6.3e-72,"< 2e-16","****","Wilcoxon"
"945","weight","电子元件","农业",0.523283371697954,1,"0.52328","ns","Wilcoxon"
"946","weight","电子元件","平面媒体",0.287129390890307,1,"0.28713","ns","Wilcoxon"
"947","weight","电子元件","其他电气设备",3.02359789290635e-27,1.2e-23,"< 2e-16","****","Wilcoxon"
"948","weight","电子元件","其他家电",4.80241570822567e-07,0.0013,"4.8e-07","****","Wilcoxon"
"949","weight","电子元件","其他建材",0.254987962199012,1,"0.25499","ns","Wilcoxon"
"950","weight","电子元件","其他交运设备",2.59264905051643e-07,0.00073,"2.6e-07","****","Wilcoxon"
"951","weight","电子元件","其他轻工",0.00124317848887559,1,"0.00124","**","Wilcoxon"
"952","weight","电子元件","汽车",6.30786394799182e-45,2.6e-41,"< 2e-16","****","Wilcoxon"
"953","weight","电子元件","燃气",0.0409393845257292,1,"0.04094","*","Wilcoxon"
"954","weight","电子元件","商业物业经营",0.0518070594883142,1,"0.05181","ns","Wilcoxon"
"955","weight","电子元件","生物医药",0.000815415429458195,1,"0.00082","***","Wilcoxon"
"956","weight","电子元件","石油天然气",2.66651510918057e-46,1.1e-42,"< 2e-16","****","Wilcoxon"
"957","weight","电子元件","食品",0.00014731476643845,0.35,"0.00015","***","Wilcoxon"
"958","weight","电子元件","视听器材",2.66933141745116e-28,1e-24,"< 2e-16","****","Wilcoxon"
"959","weight","电子元件","输变电设备",1.09343181906916e-17,3.9e-14,"< 2e-16","****","Wilcoxon"
"960","weight","电子元件","水泥",1.59902241189788e-08,4.7e-05,"1.6e-08","****","Wilcoxon"
"961","weight","电子元件","水务",0.00128981819391436,1,"0.00129","**","Wilcoxon"
"962","weight","电子元件","陶瓷",2.746407232241e-21,1e-17,"< 2e-16","****","Wilcoxon"
"963","weight","电子元件","铁矿石",0.29885560295348,1,"0.29886","ns","Wilcoxon"
"964","weight","电子元件","铁路设备",5.18833470335087e-13,1.7e-09,"5.2e-13","****","Wilcoxon"
"965","weight","电子元件","通信设备",1.85061831591211e-24,7.1e-21,"< 2e-16","****","Wilcoxon"
"966","weight","电子元件","通用设备",4.58086889672328e-08,0.00013,"4.6e-08","****","Wilcoxon"
"967","weight","电子元件","卫星应用",2.98203331728553e-09,9.1e-06,"3.0e-09","****","Wilcoxon"
"968","weight","电子元件","文娱用品",0.0147982001634042,1,"0.01480","*","Wilcoxon"
"969","weight","电子元件","物流",1.9505767503723e-08,5.8e-05,"2.0e-08","****","Wilcoxon"
"970","weight","电子元件","稀有金属",9.73003416320403e-10,3e-06,"9.7e-10","****","Wilcoxon"
"971","weight","电子元件","橡胶制品",6.37630815734416e-26,2.5e-22,"< 2e-16","****","Wilcoxon"
"972","weight","电子元件","消费电子设备",0.237457139177583,1,"0.23746","ns","Wilcoxon"
"973","weight","电子元件","小家电",3.49604356975943e-28,1.4e-24,"< 2e-16","****","Wilcoxon"
"974","weight","电子元件","休闲服务",0.600856400395681,1,"0.60086","ns","Wilcoxon"
"975","weight","电子元件","医疗服务",0.137655752921842,1,"0.13766","ns","Wilcoxon"
"976","weight","电子元件","医疗器械",2.48652376740945e-08,7.3e-05,"2.5e-08","****","Wilcoxon"
"977","weight","电子元件","医药商业",1.14908374536774e-16,4.1e-13,"< 2e-16","****","Wilcoxon"
"978","weight","电子元件","银行",0.0442735385072155,1,"0.04427","*","Wilcoxon"
"979","weight","电子元件","饮料",0.0184619793963568,1,"0.01846","*","Wilcoxon"
"980","weight","电子元件","营销服务",0.000363677679471107,0.82,"0.00036","***","Wilcoxon"
"981","weight","电子元件","影视动漫",0.276394581753197,1,"0.27639","ns","Wilcoxon"
"982","weight","电子元件","渔业",0.547998571121723,1,"0.54800","ns","Wilcoxon"
"983","weight","电子元件","造纸印刷",2.49671258654681e-86,1.1e-82,"< 2e-16","****","Wilcoxon"
"984","weight","电子元件","照明设备",6.1041740115261e-16,2.1e-12,"6.1e-16","****","Wilcoxon"
"985","weight","电子元件","中药生产",0.0265343511377027,1,"0.02653","*","Wilcoxon"
"986","weight","电子元件","珠宝首饰",1.25361285979867e-21,4.7e-18,"< 2e-16","****","Wilcoxon"
"987","weight","电子元件","专业服务",1.07827200998457e-53,4.5e-50,"< 2e-16","****","Wilcoxon"
"988","weight","电子元件","专用设备",3.3765498187993e-16,1.2e-12,"3.4e-16","****","Wilcoxon"
"989","weight","电子元件","装修装饰",8.79629553586891e-09,2.6e-05,"8.8e-09","****","Wilcoxon"
"990","weight","电子元件","综合",3.7096372411823e-16,1.3e-12,"3.7e-16","****","Wilcoxon"
"991","weight","房地产开发","纺织",0.714548307773163,1,"0.71455","ns","Wilcoxon"
"992","weight","房地产开发","非银行金融",0.201565946331245,1,"0.20157","ns","Wilcoxon"
"993","weight","房地产开发","服装家纺",9.18603793190071e-10,2.8e-06,"9.2e-10","****","Wilcoxon"
"994","weight","房地产开发","钢结构",0.28942502961166,1,"0.28943","ns","Wilcoxon"
"995","weight","房地产开发","钢铁",0.13331102314448,1,"0.13331","ns","Wilcoxon"
"996","weight","房地产开发","港口航运",0.000506507901188788,1,"0.00051","***","Wilcoxon"
"997","weight","房地产开发","公路铁路",0.558545706456347,1,"0.55855","ns","Wilcoxon"
"998","weight","房地产开发","光电子器件",1.27667663297079e-09,3.9e-06,"1.3e-09","****","Wilcoxon"
"999","weight","房地产开发","广播电视",0.408239629147739,1,"0.40824","ns","Wilcoxon"
"1000","weight","房地产开发","轨道交通设备",0.00136820999388439,1,"0.00137","**","Wilcoxon"
"1001","weight","房地产开发","贵金属",0.635379215683595,1,"0.63538","ns","Wilcoxon"
"1002","weight","房地产开发","航空航天装备",6.46705037669922e-08,0.00019,"6.5e-08","****","Wilcoxon"
"1003","weight","房地产开发","航空机场",0.224202289952257,1,"0.22420","ns","Wilcoxon"
"1004","weight","房地产开发","合成纤维及树脂",0.00351598311151338,1,"0.00352","**","Wilcoxon"
"1005","weight","房地产开发","互联网服务",0.0117332990841708,1,"0.01173","*","Wilcoxon"
"1006","weight","房地产开发","互联网技术",0.167032049032736,1,"0.16703","ns","Wilcoxon"
"1007","weight","房地产开发","互联网商务",0.495700579757544,1,"0.49570","ns","Wilcoxon"
"1008","weight","房地产开发","化肥农药",0.0347175766174484,1,"0.03472","*","Wilcoxon"
"1009","weight","房地产开发","化学新材料",3.69075051001384e-16,1.3e-12,"3.7e-16","****","Wilcoxon"
"1010","weight","房地产开发","化学原料",0.0154882530775139,1,"0.01549","*","Wilcoxon"
"1011","weight","房地产开发","化学制品",0.0116039003252812,1,"0.01160","*","Wilcoxon"
"1012","weight","房地产开发","化学制药",0.211549834701538,1,"0.21155","ns","Wilcoxon"
"1013","weight","房地产开发","环保",1.29738254732563e-07,0.00037,"1.3e-07","****","Wilcoxon"
"1014","weight","房地产开发","机器人",0.00718505200912463,1,"0.00719","**","Wilcoxon"
"1015","weight","房地产开发","基本金属",0.522715424588804,1,"0.52272","ns","Wilcoxon"
"1016","weight","房地产开发","基础建设",0.0999882701243611,1,"0.09999","ns","Wilcoxon"
"1017","weight","房地产开发","计算机软件",5.99500062054828e-06,0.016,"6.0e-06","****","Wilcoxon"
"1018","weight","房地产开发","计算机硬件",4.08827410020089e-05,0.1,"4.1e-05","****","Wilcoxon"
"1019","weight","房地产开发","家具",0.00121889397829228,1,"0.00122","**","Wilcoxon"
"1020","weight","房地产开发","建筑施工",4.169909081738e-20,1.5e-16,"< 2e-16","****","Wilcoxon"
"1021","weight","房地产开发","教育",0.2678048076312,1,"0.26780","ns","Wilcoxon"
"1022","weight","房地产开发","金属非金属新材料",0.0046881251586847,1,"0.00469","**","Wilcoxon"
"1023","weight","房地产开发","金属制品",7.40926241962638e-11,2.4e-07,"7.4e-11","****","Wilcoxon"
"1024","weight","房地产开发","林业",0.106922831039675,1,"0.10692","ns","Wilcoxon"
"1025","weight","房地产开发","零售",0.590972205062102,1,"0.59097","ns","Wilcoxon"
"1026","weight","房地产开发","贸易",0.0542996889800436,1,"0.05430","ns","Wilcoxon"
"1027","weight","房地产开发","煤炭",0.188800825822477,1,"0.18880","ns","Wilcoxon"
"1028","weight","房地产开发","耐火材料",7.05058621251774e-16,2.5e-12,"7.1e-16","****","Wilcoxon"
"1029","weight","房地产开发","农业",4.13239048191948e-05,0.1,"4.1e-05","****","Wilcoxon"
"1030","weight","房地产开发","平面媒体",0.486297724042219,1,"0.48630","ns","Wilcoxon"
"1031","weight","房地产开发","其他电气设备",0.129083479716094,1,"0.12908","ns","Wilcoxon"
"1032","weight","房地产开发","其他家电",0.851967277139767,1,"0.85197","ns","Wilcoxon"
"1033","weight","房地产开发","其他建材",0.00126199487341282,1,"0.00126","**","Wilcoxon"
"1034","weight","房地产开发","其他交运设备",0.868060122010526,1,"0.86806","ns","Wilcoxon"
"1035","weight","房地产开发","其他轻工",0.111670878380212,1,"0.11167","ns","Wilcoxon"
"1036","weight","房地产开发","汽车",0.251514908086306,1,"0.25151","ns","Wilcoxon"
"1037","weight","房地产开发","燃气",0.0586557398813282,1,"0.05866","ns","Wilcoxon"
"1038","weight","房地产开发","商业物业经营",0.901419706319753,1,"0.90142","ns","Wilcoxon"
"1039","weight","房地产开发","生物医药",0.000338161813945739,0.77,"0.00034","***","Wilcoxon"
"1040","weight","房地产开发","石油天然气",0.218403783073841,1,"0.21840","ns","Wilcoxon"
"1041","weight","房地产开发","食品",1.08985883967439e-06,0.003,"1.1e-06","****","Wilcoxon"
"1042","weight","房地产开发","视听器材",0.00174942029603904,1,"0.00175","**","Wilcoxon"
"1043","weight","房地产开发","输变电设备",0.662377428112906,1,"0.66238","ns","Wilcoxon"
"1044","weight","房地产开发","水泥",0.531363953170925,1,"0.53136","ns","Wilcoxon"
"1045","weight","房地产开发","水务",0.392145082113745,1,"0.39215","ns","Wilcoxon"
"1046","weight","房地产开发","陶瓷",0.0160754201566617,1,"0.01608","*","Wilcoxon"
"1047","weight","房地产开发","铁矿石",0.674250145402264,1,"0.67425","ns","Wilcoxon"
"1048","weight","房地产开发","铁路设备",0.0002214653035792,0.51,"0.00022","***","Wilcoxon"
"1049","weight","房地产开发","通信设备",0.0148237047835728,1,"0.01482","*","Wilcoxon"
"1050","weight","房地产开发","通用设备",0.128672250026098,1,"0.12867","ns","Wilcoxon"
"1051","weight","房地产开发","卫星应用",0.599465252384737,1,"0.59947","ns","Wilcoxon"
"1052","weight","房地产开发","文娱用品",9.58763860735853e-05,0.23,"9.6e-05","****","Wilcoxon"
"1053","weight","房地产开发","物流",0.309591706989704,1,"0.30959","ns","Wilcoxon"
"1054","weight","房地产开发","稀有金属",0.922291182953785,1,"0.92229","ns","Wilcoxon"
"1055","weight","房地产开发","橡胶制品",0.112387489400214,1,"0.11239","ns","Wilcoxon"
"1056","weight","房地产开发","消费电子设备",0.000150143930245234,0.35,"0.00015","***","Wilcoxon"
"1057","weight","房地产开发","小家电",0.0144058366731861,1,"0.01441","*","Wilcoxon"
"1058","weight","房地产开发","休闲服务",0.426079104510226,1,"0.42608","ns","Wilcoxon"
"1059","weight","房地产开发","医疗服务",3.21550860551434e-05,0.08,"3.2e-05","****","Wilcoxon"
"1060","weight","房地产开发","医疗器械",0.0762377961675828,1,"0.07624","ns","Wilcoxon"
"1061","weight","房地产开发","医药商业",6.65454022935061e-13,2.2e-09,"6.7e-13","****","Wilcoxon"
"1062","weight","房地产开发","银行",0.00354866889671126,1,"0.00355","**","Wilcoxon"
"1063","weight","房地产开发","饮料",0.930216864369114,1,"0.93022","ns","Wilcoxon"
"1064","weight","房地产开发","营销服务",0.920023289585037,1,"0.92002","ns","Wilcoxon"
"1065","weight","房地产开发","影视动漫",0.000681240294703451,1,"0.00068","***","Wilcoxon"
"1066","weight","房地产开发","渔业",0.527925756245968,1,"0.52793","ns","Wilcoxon"
"1067","weight","房地产开发","造纸印刷",0.00229982140546992,1,"0.00230","**","Wilcoxon"
"1068","weight","房地产开发","照明设备",0.0103382009818841,1,"0.01034","*","Wilcoxon"
"1069","weight","房地产开发","中药生产",1.01783053075061e-06,0.0028,"1.0e-06","****","Wilcoxon"
"1070","weight","房地产开发","珠宝首饰",5.16405373043536e-15,1.8e-11,"5.2e-15","****","Wilcoxon"
"1071","weight","房地产开发","专业服务",0.0350119857845923,1,"0.03501","*","Wilcoxon"
"1072","weight","房地产开发","专用设备",0.246601865012944,1,"0.24660","ns","Wilcoxon"
"1073","weight","房地产开发","装修装饰",0.435772186312347,1,"0.43577","ns","Wilcoxon"
"1074","weight","房地产开发","综合",0.0391639923284396,1,"0.03916","*","Wilcoxon"
"1075","weight","纺织","非银行金融",0.862990435267725,1,"0.86299","ns","Wilcoxon"
"1076","weight","纺织","服装家纺",0.00156984564732661,1,"0.00157","**","Wilcoxon"
